ISI Citation,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ihaka R,5,15,18,43,131,290,472,528,435,419,449,378,396
R Dev Core Team 2003,,,,,,,39,123,91,57,39,25,14
R Dev Core Team 2004,,,,,,,16,235,421,327,289,187,126
R Dev Core Team 2005,,,,,,,,47,436,606,552,470,376
R Dev Core Team 2006,,,,,,,,,55,438,849,656,461
R Dev Core Team 2007,,,,,,,,,,92,714,962,733
R Dev Core Team 2008,,,,,,,,,,,215,1423,1950
R Dev Core Team 2009,,,,,,,,,,,,172,1363
R Dev Core Team 2010,,,,,,,,,,,,,205
R Dev Core Team,,,,,,,1,12,14,25,36,81,93
